Tube_code	individual	species	Population	latitude	longitude	type	Sex	Sample_type	time_point	Tube_type
AD79	AH1_2nd_7	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	5_Post-FMT1	Lizards_Hologenomics
AD80	AH1_2nd_8	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	5_Post-FMT1	Lizards_Hologenomics
AD85	AH1_2nd_9	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	5_Post-FMT1	Lizards_Hologenomics
AD91	AH1_2nd_10	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	5_Post-FMT1	Lizards_Hologenomics
AD77	AH1_2nd_11	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	5_Post-FMT1	Lizards_Hologenomics
AD87	AH1_2nd_12	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	5_Post-FMT1	Lizards_Hologenomics
AD84	AH1_2nd_20	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	5_Post-FMT1	Lizards_Hologenomics
AD88	AH1_2nd_13	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	5_Post-FMT1	Lizards_Hologenomics
AD82	AH1_2nd_14	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	5_Post-FMT1	Lizards_Hologenomics
AD74	AH1_2nd_15	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	5_Post-FMT1	Lizards_Hologenomics
AD76	AH1_2nd_16	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	5_Post-FMT1	Lizards_Hologenomics
AD89	AH1_2nd_17	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	5_Post-FMT1	Lizards_Hologenomics
AD90	AH1_2nd_18	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	5_Post-FMT1	Lizards_Hologenomics
AD86	AH1_2nd_19	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	5_Post-FMT1	Lizards_Hologenomics
AD93	LI1_2nd_1	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	5_Post-FMT1	Lizards_Hologenomics
AD99	LI1_2nd_2	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	5_Post-FMT1	Lizards_Hologenomics
AE02	LI1_2nd_3	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	5_Post-FMT1	Lizards_Hologenomics
AD97	LI1_2nd_4	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	5_Post-FMT1	Lizards_Hologenomics
AE01	LI1_2nd_5	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	5_Post-FMT1	Lizards_Hologenomics
AE03	LI1_2nd_6	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	5_Post-FMT1	Lizards_Hologenomics
AD94	LI1_2nd_7	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	5_Post-FMT1	Lizards_Hologenomics
AD98	LI1_2nd_8	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	5_Post-FMT1	Lizards_Hologenomics
AD95	LI1_2nd_9	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	5_Post-FMT1	Lizards_Hologenomics
AD96	LI1_2nd_10	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	5_Post-FMT1	Lizards_Hologenomics
AE92	AH1_2nd_1	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	6_Post-FMT2	Lizards_Hologenomics
AE91	AH1_2nd_2	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	6_Post-FMT2	Lizards_Hologenomics
AE05	AH1_2nd_5	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	6_Post-FMT2	Lizards_Hologenomics
AF01	AH1_2nd_6	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	6_Post-FMT2	Lizards_Hologenomics
AE09	AH1_2nd_7	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	6_Post-FMT2	Lizards_Hologenomics
AE04	AH1_2nd_8	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	6_Post-FMT2	Lizards_Hologenomics
AE07	AH1_2nd_9	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	6_Post-FMT2	Lizards_Hologenomics
AE96	AH1_2nd_10	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	6_Post-FMT2	Lizards_Hologenomics
AE94	AH1_2nd_11	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	6_Post-FMT2	Lizards_Hologenomics
AE93	AH1_2nd_12	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	6_Post-FMT2	Lizards_Hologenomics
AF03	AH1_2nd_20	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	6_Post-FMT2	Lizards_Hologenomics
AE95	AH1_2nd_13	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	6_Post-FMT2	Lizards_Hologenomics
AE06	AH1_2nd_14	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	6_Post-FMT2	Lizards_Hologenomics
AE97	AH1_2nd_15	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	6_Post-FMT2	Lizards_Hologenomics
AE99	AH1_2nd_16	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	6_Post-FMT2	Lizards_Hologenomics
AE98	AH1_2nd_17	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	6_Post-FMT2	Lizards_Hologenomics
